Date,Name,Yearly Average Price
2013,NTPC,121
2014,NTPC,114
2015,NTPC,115
2016,NTPC,122
2017,NTPC,140
2018,NTPC,135
2019,NTPC,124
2020,NTPC,96
2021,NTPC,116
2022,NTPC,153
2023,NTPC,206
2024,NTPC,313
2013,ONGC,197
2014,ONGC,244
2015,ONGC,191
2016,ONGC,158
2017,ONGC,179
2018,ONGC,171
2019,ONGC,146
2020,ONGC,83
2021,ONGC,122
2022,ONGC,149
2023,ONGC,170
2024,ONGC,213
2013,Reliance,382
2014,Reliance,429
2015,Reliance,412
2016,Reliance,456
2017,Reliance,665
2018,Reliance,936
2019,Reliance,1189
2020,Reliance,1579
2021,Reliance,1997
2022,Reliance,2296
2023,Reliance,2310
2024,Reliance,2627
2013,Tata Power,81
2014,Tata Power,88
2015,Tata Power,73
2016,Tata Power,71
2017,Tata Power,83
2018,Tata Power,79
2019,Tata Power,65
2020,Tata Power,51
2021,Tata Power,139
2022,Tata Power,230
2023,Tata Power,232
2024,Tata Power,341
