Date,Name,Yearly Average Price
2013,HCL,237.252809
2014,HCL,374.7704918
2015,HCL,458.8024194
2016,HCL,395.9757085
2017,HCL,429.4072581
2018,HCL,488.601626
2019,HCL,534.7346939
2020,HCL,661.1626984
2021,HCL,1061.483871
2022,HCL,1055.439516
2023,HCL,1177.329268
2024,HCL,1467.1
2013,Infosys,362.1011236
2014,Infosys,445.6844262
2015,Infosys,536.0604839
2016,Infosys,550.3643725
2017,Infosys,481.3225806
2018,Infosys,632.6747967
2019,Infosys,741.4122449
2020,Infosys,870.3253968
2021,Infosys,1535.532258
2022,Infosys,1592.633065
2023,Infosys,1416.5
2024,Infosys,1530
2013,TCS,897.0449438
2014,TCS,1184.872951
2015,TCS,1268.887097
2016,TCS,1209.65587
2017,TCS,1237.903226
2018,TCS,1785.471545
2019,TCS,2100.710204
2020,TCS,2262.801587
2021,TCS,3353.883065
2022,TCS,3397.318548
2023,TCS,3390.386179
2024,TCS,3739.1
2013,Wipro,160.9101124
2014,Wipro,207.9631148
2015,Wipro,217.5443548
2016,Wipro,195.0040486
2017,Wipro,202.125
2018,Wipro,222.8943089
2019,Wipro,263.6897959
2020,Wipro,264.6071429
2021,Wipro,553.7016129
2022,Wipro,473.1370968
2023,Wipro,399.6178862
2024,Wipro,457.9
