Date,Reliance,Tata Power,NTPC,ONGC
2013,403,88,114,193
2013,399,86,113,193
2013,395,87,114,195
2013,399,87,114,195
2013,404,83,115,191
2013,403,86,114,193
2013,403,88,113,190
2013,384,86,113,182
2013,387,88,113,188
2013,377,85,112,183
2013,380,86,115,184
2013,389,84,114,187
2013,391,86,116,189
2013,397,83,116,195
2013,398,85,113,199
2013,395,86,128,203
2013,390,85,124,196
2013,392,81,120,194
2013,385,79,121,191
2013,388,77,121,195
2013,385,77,123,197
2013,384,77,123,199
2013,381,75,123,195
2013,377,75,122,193
2013,378,75,124,191
2013,383,75,125,192
2013,379,74,126,185
2013,381,75,125,180
2013,388,77,129,184
2013,395,76,129,185
2013,393,76,130,186
2013,383,76,127,180
2013,380,75,125,179
2013,383,76,124,177
2013,388,79,125,180
2013,394,79,127,185
2013,398,79,127,189
2013,404,81,127,188
2013,409,81,123,189
2013,409,80,122,193
2013,408,80,122,192
2013,411,79,124,196
2013,404,78,123,192
2013,403,78,122,194
2013,401,76,120,191
2013,399,77,121,189
2013,398,78,119,189
2013,403,79,121,188
2013,407,79,124,191
2013,411,77,123,190
2013,407,77,122,189
2013,396,76,120,187
2013,390,77,121,183
2013,391,78,120,184
2013,388,79,120,184
2013,387,81,123,182
2013,387,83,121,182
2013,380,81,120,179
2013,380,79,119,177
2013,384,78,119,176
2013,381,78,120,178
2013,369,75,120,175
2013,370,78,123,179
2013,378,79,123,183
2013,377,80,125,185
2013,382,79,124,186
2013,393,78,121,183
2013,393,76,119,184
2013,397,79,124,193
2013,400,80,123,199
2013,392,75,121,189
2013,386,73,117,186
2013,388,74,119,191
2013,393,76,118,188
2013,394,74,116,186
2013,399,71,115,193
2013,400,70,116,195
2013,390,68,112,192
2013,388,70,109,180
2013,382,70,108,172
2013,374,69,107,167
2013,399,72,109,168
2013,384,73,109,166
2013,380,74,109,166
2013,365,74,105,162
2013,361,72,104,173
2013,370,75,110,179
2013,369,75,108,184
2013,362,72,109,180
2013,352,71,109,167
2013,371,71,113,171
2013,369,72,114,175
2013,372,71,116,181
2013,389,75,120,193
2013,384,74,120,183
2013,380,73,115,185
2013,389,75,114,182
2013,392,74,114,182
2013,378,69,112,178
2013,387,81,113,184
2013,386,82,108,185
2013,382,85,110,186
2013,392,85,109,194
2013,386,83,115,187
2013,398,85,118,198
2013,400,86,118,202
