Date,Sun Pharma,Cipla,Dr. Reddy,Divi Labs
2013,567,401,2535,611
2013,570,400,2526,609
2013,576,405,2520,611
2013,570,398,2513,589
2013,567,400,2540,599
2013,576,405,2513,599
2013,579,402,2513,593
2013,583,400,2464,588
2013,573,393,2469,590
2013,568,388,2427,577
2013,556,376,2400,561
2013,571,377,2401,555
2013,574,381,2403,570
2013,583,387,2442,569
2013,586,389,2453,558
2013,586,385,2454,558
2013,581,389,2423,569
2013,577,388,2415,568
2013,591,390,2450,569
2013,593,391,2466,576
2013,595,392,2499,580
2013,572,391,2485,576
2013,571,380,2457,573
2013,570,382,2428,578
2013,573,386,2411,581
2013,581,387,2440,581
2013,575,385,2434,565
2013,581,387,2410,566
2013,597,393,2426,570
2013,606,401,2452,570
2013,611,402,2467,578
2013,599,403,2462,574
2013,608,412,2470,570
2013,598,421,2470,569
2013,596,422,2471,551
2013,601,423,2402,510
2013,606,422,2411,500
2013,602,425,2398,515
2013,592,421,2406,492
2013,610,418,2481,495
2013,605,416,2471,489
2013,609,413,2456,486
2013,619,419,2523,486
2013,618,418,2429,496
2013,604,412,2400,483
2013,611,416,2406,487
2013,622,420,2392,496
2013,621,424,2400,509
2013,638,412,2431,517
2013,631,417,2441,516
2013,632,415,2460,515
2013,620,415,2411,504
2013,624,423,2410,516
2013,626,422,2421,512
2013,626,429,2402,517
2013,640,433,2397,523
2013,645,432,2404,524
2013,614,435,2393,529
2013,605,440,2386,525
2013,600,438,2372,511
2013,601,436,2430,507
2013,590,432,2408,496
2013,593,433,2381,485
2013,590,434,2412,492
2013,581,436,2457,488
2013,569,439,2429,489
2013,556,432,2395,495
2013,558,426,2379,498
2013,566,430,2366,499
2013,558,440,2378,505
2013,549,437,2353,496
2013,545,432,2304,494
2013,564,431,2224,491
2013,564,442,2249,501
2013,557,438,2247,497
2013,561,434,2250,497
2013,550,441,2266,498
2013,529,437,2285,491
2013,519,419,2294,483
2013,520,420,2275,487
2013,513,406,2207,477
2013,528,418,2283,498
2013,521,417,2293,497
2013,511,398,2258,478
2013,505,399,2172,479
2013,497,397,2167,469
2013,517,399,2151,475
2013,507,396,2120,467
2013,502,401,2109,473
2013,482,393,2047,473
2013,507,402,2139,473
