Date,Name,Yearly Average Price
2013,HDFC Bank,328
2014,HDFC Bank,400
2015,HDFC Bank,523
2016,HDFC Bank,578
2017,HDFC Bank,810
2018,HDFC Bank,998
2019,HDFC Bank,1161
2020,HDFC Bank,1127
2021,HDFC Bank,1512
2022,HDFC Bank,1462
2023,HDFC Bank,1609
2024,HDFC Bank,1670
2013,ICICI Bank,188
2014,ICICI Bank,254
2015,ICICI Bank,276
2016,ICICI Bank,222
2017,ICICI Bank,280
2018,ICICI Bank,314
2019,ICICI Bank,420
2020,ICICI Bank,414
2021,ICICI Bank,662
2022,ICICI Bank,807
2023,ICICI Bank,927
2024,ICICI Bank,990
2013,Axis Bank,242
2014,Axis Bank,359
2015,Axis Bank,533
2016,Axis Bank,489
2017,Axis Bank,508
2018,Axis Bank,567
2019,Axis Bank,725
2020,Axis Bank,517
2021,Axis Bank,731
2022,Axis Bank,764
2023,Axis Bank,953
2024,Axis Bank,1114
2013,SBIN,185
2014,SBIN,233
2015,SBIN,267
2016,SBIN,219
2017,SBIN,286
2018,SBIN,275
2019,SBIN,309
2020,SBIN,224
2021,SBIN,415
2022,SBIN,522
2023,SBIN,575
2024,SBIN,634
2013,Kotak Bank,357
2014,Kotak Bank,458
2015,Kotak Bank,677
2016,Kotak Bank,731
2017,Kotak Bank,935
2018,Kotak Bank,1193
2019,Kotak Bank,1457
2020,Kotak Bank,1470
2021,Kotak Bank,1853
2022,Kotak Bank,1833
2023,Kotak Bank,1809
2024,Kotak Bank,1848
