Date,HDFC Bank,ICICI Bank,Axis Bank,SBIN,Kotak Bank
2013,334,200,260,177,364
2013,334,199,257,176,366
2013,334,202,259,177,370
2013,328,200,259,175,363
2013,331,200,257,176,364
2013,332,200,258,176,366
2013,326,198,256,175,367
2013,332,193,251,173,361
2013,328,199,257,176,375
2013,341,200,251,172,370
2013,344,200,252,173,375
2013,347,197,248,174,379
2013,347,206,250,178,383
2013,348,211,255,180,384
2013,348,211,253,184,386
2013,341,218,261,189,382
2013,343,208,256,186,379
2013,328,207,248,186,381
2013,327,194,238,182,375
2013,330,197,239,181,379
2013,330,198,238,182,385
2013,326,194,231,182,378
2013,326,189,224,176,376
2013,326,190,224,176,374
2013,329,190,223,179,373
2013,320,195,223,181,373
2013,318,186,216,174,358
2013,324,187,217,176,356
2013,329,191,226,180,366
2013,334,197,227,182,368
2013,320,195,228,177,372
2013,316,191,219,172,363
2013,322,185,206,170,359
2013,326,184,210,167,358
2013,326,189,215,170,356
2013,332,191,224,174,364
2013,334,191,234,175,367
2013,337,196,243,181,366
2013,339,199,245,188,373
2013,341,206,244,189,372
2013,340,206,244,188,374
2013,339,204,245,180,376
2013,342,200,244,172,369
2013,333,195,250,174,367
2013,336,185,238,168,354
2013,334,186,238,172,352
2013,329,186,241,172,354
2013,334,187,242,172,355
2013,335,184,240,168,355
2013,338,184,235,167,358
2013,326,183,231,166,351
2013,326,175,219,162,338
2013,333,177,216,162,341
2013,330,181,222,166,349
2013,320,181,220,165,353
2013,324,172,213,163,353
2013,316,173,216,161,359
2013,316,170,213,161,347
2013,320,167,214,163,343
2013,317,169,219,165,348
2013,305,171,221,166,350
2013,296,166,209,164,343
2013,304,161,202,161,339
2013,310,168,206,164,341
2013,310,172,206,168,352
2013,319,170,207,169,355
2013,320,172,205,165,360
2013,329,172,206,165,360
2013,341,180,220,175,374
2013,325,188,228,181,386
2013,320,177,216,167,357
2013,321,175,211,163,355
2013,314,176,218,165,356
2013,316,171,212,166,358
2013,323,173,204,166,350
2013,318,176,206,169,358
2013,307,176,200,163,354
2013,304,174,190,163,339
2013,281,162,186,164,331
2013,281,149,160,149,304
2013,294,142,157,148,300
2013,296,150,173,152,314
