Date,Name,Yearly Average Price
2013,Tata Steel,29
2014,Tata Steel,43
2015,Tata Steel,28
2016,Tata Steel,33
2017,Tata Steel,54
2018,Tata Steel,59
2019,Tata Steel,45
2020,Tata Steel,40
2021,Tata Steel,109
2022,Tata Steel,110
2023,Tata Steel,117
2024,Tata Steel,135
2013,Hindalco,108
2014,Hindalco,148
2015,Hindalco,112
2016,Hindalco,121
2017,Hindalco,216
2018,Hindalco,233
2019,Hindalco,198
2020,Hindalco,171
2021,Hindalco,393
2022,Hindalco,453
2023,Hindalco,456
2024,Hindalco,589
2013,Adani Enterprise,126
2014,Adani Enterprise,258
2015,Adani Enterprise,198
2016,Adani Enterprise,46
2017,Adani Enterprise,76
2018,Adani Enterprise,125
2019,Adani Enterprise,153
2020,Adani Enterprise,241
2021,Adani Enterprise,1292
2022,Adani Enterprise,2663
2023,Adani Enterprise,2364
2024,Adani Enterprise,3012
2013,JSW Steel,72
2014,JSW Steel,113
2015,JSW Steel,93
2016,JSW Steel,146
2017,JSW Steel,219
2018,JSW Steel,326
2019,JSW Steel,261
2020,JSW Steel,252
2021,JSW Steel,614
2022,JSW Steel,660
2023,JSW Steel,756
2024,JSW Steel,837
