Date,TCS,Infosys,HCL,Wirpo
2013,1086,436,316,210
2013,1078,438,312,207
2013,1080,445,312,208
2013,1050,440,311,206
2013,1055,436,309,203
2013,1055,434,310,207
2013,1060,444,309,206
2013,1041,439,309,198
2013,1028,432,299,196
2013,1023,432,293,194
2013,1010,432,296,197
2013,1001,422,295,195
2013,1014,420,295,191
2013,1029,422,294,194
2013,1041,421,289,194
2013,1002,417,286,190
2013,1000,416,282,185
2013,994,419,277,185
2013,1000,421,279,184
2013,1010,419,280,181
2013,1007,417,283,180
2013,1002,419,272,177
2013,992,416,266,177
2013,993,412,265,176
2013,997,415,265,178
2013,1007,416,263,180
2013,1000,418,263,179
2013,993,418,265,179
2013,1012,425,272,181
2013,1015,430,276,183
2013,1022,426,274,185
2013,1013,419,271,182
2013,1025,417,274,181
2013,1044,417,274,181
2013,1047,420,276,181
2013,1045,420,279,181
2013,1061,420,276,181
2013,1046,413,271,181
2013,1021,408,275,180
2013,1050,410,275,182
2013,1049,410,276,181
2013,1056,414,274,179
2013,1046,415,271,179
2013,1035,417,270,182
2013,1032,415,266,181
2013,1034,416,270,180
2013,1004,414,264,177
2013,1031,416,277,185
2013,1045,418,277,193
2013,1036,417,271,190
2013,1060,414,276,190
2013,1054,409,271,186
2013,1108,419,290,191
2013,1106,416,290,188
2013,1061,409,289,183
2013,1040,391,279,180
2013,1045,389,278,179
2013,1031,379,277,181
2013,1045,378,280,181
2013,1017,377,274,181
2013,1012,380,276,182
2013,975,377,268,177
2013,964,377,272,177
2013,974,376,268,178
2013,971,377,263,179
2013,980,376,266,178
2013,970,377,268,179
2013,978,377,273,181
2013,975,374,265,178
2013,983,377,256,177
2013,977,377,257,180
2013,974,378,259,178
2013,951,374,249,169
2013,977,379,261,171
2013,984,383,269,177
2013,997,390,267,178
2013,994,395,266,177
2013,994,379,254,176
2013,995,376,255,176
2013,1035,389,260,180
2013,1001,379,256,180
2013,1028,386,260,182
2013,1017,388,260,181
2013,974,388,254,178
2013,954,390,245,177
2013,919,382,237,171
2013,921,379,236,172
2013,915,375,237,168
2013,889,378,226,167
2013,859,370,221,166
2013,868,376,225,168
2013,889,376,233,171
2013,890,372,230,171
2013,917,384,230,173
2013,910,385,235,175
2013,907,376,233,171
2013,923,371,226,168
2013,911,370,227,169
2013,935,373,236,169
2013,934,376,237,168
2013,923,376,234,165
2013,908,372,233,164
2013,908,371,234,164
2013,896,369,226,157
2013,890,365,224,153
2013,887,364,226,143
2013,898,364,226,141
2013,891,364,225,147
2013,875,363,225,144
2013,873,360,223,147
2013,871,356,223,147
2013,830,350,215,145
2013,839,344,219,145
2013,825,341,219,141
2013,821,343,219,143
2013,805,351,216,141
2013,782,316,210,137
2013,756,313,210,137
2013,752,312,206,135
2013,753,309,205,133
2013,765,307,199,132
2013,769,309,200,131
2013,745,301,192,129
2013,750,300,192,132
2013,746,306,190,132
2013,759,312,194,131
2013,746,310,199,130
2013,719,300,192,131
2013,696,297,188,129
2013,705,298,190,130
2013,711,302,190,131
2013,702,296,190,130
2013,714,305,195,129
2013,722,306,195,128
2013,726,303,194,127
2013,725,299,191,127
2013,723,297,189,128
2013,734,303,191,129
2013,751,309,189,129
2013,763,311,188,129
2013,759,306,186,126
2013,735,304,187,124
2013,734,308,182,122
2013,733,312,184,124
2013,735,314,186,122
2013,749,301,186,123
2013,750,293,186,126
2013,749,294,187,127
2013,757,296,186,128
2013,749,297,185,128
2013,735,293,184,126
2013,746,295,184,126
2013,749,298,186,128
2013,746,300,184,127
2013,736,297,182,127
2013,737,294,180,129
2013,727,292,185,130
2013,736,295,186,130
2013,729,294,186,130
2013,726,292,190,130
2013,745,295,193,133
2013,748,296,194,133
2013,749,295,193,133
2013,740,294,188,132
2013,736,294,188,132
2013,734,293,188,134
2013,709,288,188,133
2013,717,286,184,132
2013,689,279,180,131
2013,685,279,175,128
2013,685,277,171,124
2013,701,278,180,126
2013,715,283,183,129
2013,713,281,180,127
2013,726,287,184,138
2013,728,285,188,140
2013,742,287,191,143
2013,736,292,191,142
2014,1279,493,399,208
2014,1265,492,397,207
2014,1261,489,395,206
2014,1253,488,391,205
2014,1240,483,385,205
2014,1258,493,384,207
2014,1257,500,397,208
2014,1255,500,397,206
2014,1230,491,389,202
2014,1222,485,385,201
2014,1222,485,390,201
2014,1179,481,371,203
2014,1225,485,378,204
2014,1246,480,388,205
2014,1254,491,393,207
2014,1257,491,390,209
2014,1256,493,390,213
2014,1289,518,399,217
2014,1319,525,406,222
2014,1318,531,414,223
2014,1329,532,410,222
2014,1346,544,418,222
2014,1322,545,416,220
2014,1327,546,416,218
2014,1314,538,408,217
2014,1318,538,414,218
2014,1329,534,418,217
2014,1311,518,411,215
2014,1303,528,412,214
2014,1287,522,408,212
2014,1293,523,400,212
2014,1309,527,405,212
2014,1303,524,403,211
2014,1294,522,410,210
2014,1296,513,400,209
2014,1290,516,404,209
2014,1285,521,404,210
2014,1286,521,405,208
2014,1300,516,401,210
2014,1295,511,393,212
2014,1304,506,402,211
2014,1279,493,394,210
2014,1253,485,378,209
2014,1239,474,375,208
2014,1229,475,374,208
2014,1233,476,381,210
2014,1226,475,378,219
2014,1217,472,376,215
2014,1212,477,374,209
2014,1221,481,376,212
2014,1339,483,414,215
2014,1350,490,431,218
2014,1358,493,439,219
2014,1339,486,434,219
2014,1353,456,424,220
2014,1342,456,418,223
2014,1366,479,432,232
2014,1388,481,435,231
2014,1368,468,429,224
2014,1384,469,427,222
2014,1342,460,429,221
2014,1354,461,427,218
2014,1322,456,427,222
2014,1344,451,431,219
2014,1361,456,425,218
2014,1357,463,418,221
2014,1321,462,409,218
2014,1296,468,407,213
2014,1275,456,401,210
2014,1279,455,402,213
2014,1304,459,405,216
2014,1299,461,409,215
2014,1300,458,409,218
2014,1316,467,410,221
2014,1321,473,417,222
2014,1299,466,416,218
2014,1292,464,415,216
2014,1303,467,415,216
2014,1269,452,412,210
2014,1269,450,409,212
2014,1261,450,408,212
2014,1275,454,412,209
2014,1267,453,400,207
2014,1261,453,399,208
2014,1232,450,399,209
2014,1216,444,389,207
2014,1218,444,390,207
2014,1219,443,385,205
2014,1244,445,381,205
2014,1250,452,385,205
2014,1250,451,390,206
2014,1236,447,379,204
2014,1234,447,379,204
2014,1239,435,383,206
2014,1235,438,380,207
2014,1253,447,387,207
2014,1262,439,386,206
2014,1263,433,389,206
2014,1258,418,379,201
2014,1290,421,389,204
2014,1298,422,399,207
2014,1295,421,404,209
2014,1303,419,396,207
2014,1298,423,396,216
2014,1293,419,386,214
2014,1266,404,382,210
2014,1232,400,377,204
