Date,Name,Yearly Average Price
2013,Cipla,405.2696629
2014,Cipla,478.5819672
2015,Cipla,663.4798387
2016,Cipla,545.4453441
2017,Cipla,576.9032258
2018,Cipla,592.3373984
2019,Cipla,509.3306122
2020,Cipla,634.0753968
2021,Cipla,899.1532258
2022,Cipla,1014.540323
2023,Cipla,1076.304878
2024,Cipla,1294.1
2013,Divi Labs,514.6011236
2014,Divi Labs,746.1967213
2015,Divi Labs,984.8548387
2016,Divi Labs,1132.425101
2017,Divi Labs,768.3266129
2018,Divi Labs,1202.841463
2019,Divi Labs,1651.297959
2020,Divi Labs,2644.646825
2021,Divi Labs,4361.185484
2022,Divi Labs,3874.189516
2023,Divi Labs,3428.50813
2024,Divi Labs,3964.5
2013,Dr. Reddy,2268.365169
2014,Dr. Reddy,2822.922131
2015,Dr. Reddy,3605.217742
2016,Dr. Reddy,3112.676113
2017,Dr. Reddy,2549.576613
2018,Dr. Reddy,2310.398374
2019,Dr. Reddy,2705.228571
2020,Dr. Reddy,4087.865079
2021,Dr. Reddy,4895.729839
2022,Dr. Reddy,4296.350806
2023,Dr. Reddy,5068.056911
2024,Dr. Reddy,5803.8
2013,Sun Pharma,544.0280899
2014,Sun Pharma,708.2909836
2015,Sun Pharma,890.7177419
2016,Sun Pharma,774.9311741
2017,Sun Pharma,578.766129
2018,Sun Pharma,546.0650407
2019,Sun Pharma,427.1428571
2020,Sun Pharma,477.0119048
2021,Sun Pharma,704.641129
2022,Sun Pharma,908.4314516
2023,Sun Pharma,1069.670732
2024,Sun Pharma,1306.4
